,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
0,Maruti S PRESSO,2022,3878,1,PETROL,HR-98,Manual,HatchBack,514000
1,Hyundai Xcent,2018,32041,1,PETROL,TN-22,Manual,Sedan,674000
2,Tata Safari,2021,96339,1,DIESEL,TS-08,Automatic,SUV,1952000
3,Maruti Vitara Brezza,2019,51718,1,DIESEL,WB-24,Manual,SUV,690000
4,Tata Tiago,2021,19811,1,PETROL,HR-51,Manual,HatchBack,526000
5,Maruti Swift,2017,70129,1,PETROL,MH-14,Manual,HatchBack,552000
6,Hyundai i20,2012,103781,1,PETROL,,Manual,HatchBack,278000
7,Renault Kwid,2021,31945,2,PETROL,UP-32,Automatic,HatchBack,518000
8,Hyundai Grand i10,2015,39950,1,PETROL,HR-26,Manual,HatchBack,443000
9,Maruti Swift,2018,56697,1,DIESEL,KA-04,Automatic,HatchBack,710350
10,Maruti IGNIS,2018,38184,2,CNG,PB-10,Automatic,HatchBack,548000
11,Maruti S PRESSO,2019,30347,1,PETROL,MH-48,Automatic,HatchBack,481000
12,Honda Brio,2012,42375,2,PETROL,GJ-05,Manual,HatchBack,312000
13,Hyundai Elite i20,2019,47231,1,PETROL,GJ-27,Manual,HatchBack,613000
14,Honda City,2014,111577,1,PETROL,,Manual,Sedan,503000
15,Maruti Baleno,2018,60042,1,PETROL,MH-47,Manual,HatchBack,614000
16,Honda WR-V,2017,93518,1,DIESEL,KA-01,Manual,SUV,693000
17,Honda Amaze,2019,33245,1,PETROL,MH-01,Manual,Sedan,439000
18,Maruti Alto 800,2016,43717,1,PETROL,GJ-01,Manual,HatchBack,294000
19,Maruti Celerio,2021,1863,1,PETROL,PB-91,Automatic,HatchBack,716000
20,Ford Ecosport,2019,50078,1,PETROL,TN-19,Manual,SUV,836000
21,Maruti Ciaz,2018,63856,1,PETROL,UP-16,Manual,Sedan,794000
22,Renault Kwid,2018,72337,1,PETROL,KA-19,Manual,HatchBack,324000
23,Maruti Swift,2021,14567,1,PETROL,WB-02,Manual,HatchBack,678000
24,Hyundai Elite i20,2018,36778,1,CNG,DL-8C,Manual,HatchBack,587000
